epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_kappa
0,1.0064871798432062,0.49404761904761907,1.6450351642237768,0.3541666666666667,0.13888888888888884
1,1.000522135742127,0.4791666666666667,1.4757781657907698,0.4184027777777778,0.2245370370370371
2,0.9860632008030301,0.5007440476190477,1.5354713002840679,0.3854166666666667,0.18055555555555558
3,0.9636353656413064,0.5004960317460317,1.5327049576573901,0.4479166666666667,0.26388888888888884
4,0.9717128593770284,0.4945436507936508,1.535795314444436,0.4496527777777778,0.2662037037037037
5,0.9510687163897923,0.5047123015873016,1.52635162572066,0.4079861111111111,0.21064814814814814
6,0.9564118278878075,0.5119047619047619,1.5540040334065754,0.4756944444444444,0.30092592592592593
7,0.948148273759418,0.5143849206349206,1.5880275434917874,0.4079861111111111,0.21064814814814814
8,0.9408450971047083,0.5235615079365079,1.6453029662370682,0.40625,0.20833333333333337
9,0.9151406605092306,0.5250496031746031,1.636542797088623,0.4079861111111111,0.21064814814814814
10,0.903718850205815,0.5349702380952381,1.7573246426052518,0.3472222222222222,0.12962962962962965
11,0.9108295689026514,0.5190972222222222,1.6883662343025208,0.34375,0.125
12,0.8921411969358959,0.5300099206349206,1.8251988341410954,0.4010416666666667,0.20138888888888884
13,0.9188277364250214,0.5305059523809523,1.8032052152686648,0.3767361111111111,0.1689814814814815
14,0.8902829961171226,0.5344742063492064,1.8403787116209667,0.4149305555555556,0.21990740740740744
15,0.9014523440883273,0.5404265873015873,1.8183622890048556,0.4166666666666667,0.2222222222222222
16,0.8688868605901324,0.5548115079365079,1.7316337757640414,0.4114583333333333,0.2152777777777778
17,0.872196180361604,0.5570436507936508,1.755450404352612,0.4288194444444444,0.23842592592592593
18,0.8480347969702312,0.5562996031746031,1.9015480644173093,0.3767361111111111,0.1689814814814815
19,0.8315814035752463,0.5642361111111112,1.8527072138256497,0.4166666666666667,0.2222222222222222
20,0.8340143334297907,0.5758928571428571,1.9162492156028748,0.4097222222222222,0.2129629629629629
21,0.8384124934673309,0.5771329365079365,1.7623070577780406,0.4149305555555556,0.21990740740740744
22,0.8310078268959409,0.5813492063492064,1.7604733390940561,0.4340277777777778,0.24537037037037035
23,0.8000248391476888,0.5992063492063492,1.8313398294978671,0.4704861111111111,0.2939814814814815
24,0.7919926037864079,0.5987103174603174,1.8791064189540014,0.4548611111111111,0.27314814814814814
25,0.7858503917379985,0.6083829365079365,1.7848251428869035,0.4652777777777778,0.2870370370370371
26,0.7877698384580158,0.5984623015873016,1.8854578336079915,0.4756944444444444,0.30092592592592593
27,0.7917101781756158,0.6044146825396826,1.9997199840015836,0.4305555555555556,0.2407407407407407
28,0.7792871176959977,0.6034226190476191,1.8648202038473554,0.4565972222222222,0.2754629629629629
29,0.780522563036472,0.6118551587301587,1.8949613604280684,0.4548611111111111,0.27314814814814814
30,0.7610240702827772,0.6158234126984127,2.055182956986957,0.4305555555555556,0.2407407407407407
31,0.7460909658481204,0.6292162698412699,1.893278310696284,0.4809027777777778,0.30787037037037035
